,Country,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia (1.85) + residual,Explained constant
0,Norway,7.5370001792907715,7.594444820582867,7.479555537998676,1.6164631843566895,1.5335235595703125,0.7966665029525757,0.6354225873947144,0.36201223731040955,0.31596383452415466,2.277026653289795,1
1,Denmark,7.521999835968018,7.5817280648648735,7.462271607071162,1.4823830127716064,1.5511215925216675,0.7925655245780945,0.6260067224502563,0.35528048872947693,0.40077006816864014,2.3137073516845703,1
2,Iceland,7.504000186920166,7.622030473053456,7.385969900786876,1.480633020401001,1.6105740070343018,0.8335521221160889,0.6271626353263855,0.4755402207374573,0.15352655947208405,2.3227152824401855,1
3,Switzerland,7.49399995803833,7.561772420406341,7.426227495670319,1.5649795532226562,1.5169117450714111,0.8581312894821167,0.6200705766677856,0.29054927825927734,0.3670072853565216,2.2767162322998047,1
4,Finland,7.468999862670898,7.527542075812817,7.41045764952898,1.443571925163269,1.5402467250823975,0.80915766954422,0.6179508566856384,0.24548277258872986,0.38261154294013977,2.4301815032958984,1
5,Netherlands,7.376999855041504,7.427425841242075,7.326573868840933,1.5039446353912354,1.4289392232894897,0.8106961250305176,0.5853844881057739,0.47048982977867126,0.2826618254184723,2.294804096221924,1
6,Canada,7.315999984741211,7.3844028353691105,7.247597134113311,1.4792044162750244,1.481348991394043,0.8345576524734497,0.6111009120941162,0.43553972244262695,0.28737151622772217,2.1872644424438477,1
7,New Zealand,7.314000129699707,7.379510441869497,7.248489817529917,1.4057060480117798,1.5481951236724854,0.8167597055435181,0.6140621304512024,0.5000051259994507,0.38281670212745667,2.0464563369750977,1
8,Sweden,7.283999919891357,7.344094877392053,7.2239049623906615,1.4943872690200806,1.478162169456482,0.8308751583099365,0.6129240989685059,0.3853992521762848,0.3843987286090851,2.0975379943847656,1
9,Australia,7.283999919891357,7.356651224941015,7.211348614841699,1.4844149351119995,1.5100419521331787,0.8438867926597595,0.6016073822975159,0.47769924998283386,0.3011837303638458,2.0652108192443848,1
10,Israel,7.2129998207092285,7.279853256493807,7.14614638492465,1.375382423400879,1.376289963722229,0.8384039998054504,0.4059886038303375,0.33008265495300293,0.08524210005998611,2.801757335662842,1
11,Costa Rica,7.078999996185303,7.168111666291952,6.9898883260786535,1.1097062826156616,1.4164036512374878,0.759509265422821,0.5801316499710083,0.21461322903633118,0.10010658949613571,2.89863920211792,1
12,Austria,7.00600004196167,7.070669812113047,6.941330271810293,1.4870972633361816,1.4599449634552002,0.8153284192085266,0.5677661895751953,0.3164723217487335,0.2210603654384613,2.1385064125061035,1
13,United States,6.993000030517578,7.074656747579574,6.911343313455582,1.5462592840194702,1.419920563697815,0.7742866277694702,0.5057405233383179,0.39257878065109253,0.1356387883424759,2.218113422393799,1
14,Ireland,6.9770002365112305,7.0433516675233845,6.9106488054990765,1.535706639289856,1.5582311153411865,0.8097826242446899,0.5731103420257568,0.4278583228588104,0.29838815331459045,1.7738690376281738,1
15,Germany,6.951000213623047,7.005381569266319,6.8966188579797745,1.4879233837127686,1.472520351409912,0.798950731754303,0.5625113844871521,0.33626917004585266,0.276731938123703,2.0157699584960938,1
16,Belgium,6.890999794006348,6.9558207504451275,6.826178837567568,1.4637807607650757,1.4623126983642578,0.818091869354248,0.5397707223892212,0.23150333762168884,0.25134313106536865,2.1242103576660156,1
17,Luxembourg,6.86299991607666,6.923686099871993,6.802313732281327,1.741943597793579,1.4575836658477783,0.8450894951820374,0.5966278910636902,0.28318098187446594,0.31883442401885986,1.6195120811462402,1
18,United Kingdom,6.714000225067139,6.783791761100292,6.644208689033985,1.441633939743042,1.4964600801467896,0.8053359389305115,0.5081900358200073,0.4927741587162018,0.2654280662536621,1.7041435241699219,1
19,Chile,6.6519999504089355,6.739250560104847,6.564749340713024,1.2527846097946167,1.284024953842163,0.8194797039031982,0.3768952786922455,0.32666242122650146,0.0822879821062088,2.5095858573913574,1
20,United Arab Emirates,6.6479997634887695,6.722047303766012,6.573952223211527,1.6263433694839478,1.266410231590271,0.7267982363700867,0.6083452701568604,0.36094194650650024,0.324489563703537,1.734703540802002,1
21,Brazil,6.635000228881836,6.725469501614571,6.544530956149101,1.1073532104492188,1.431306004524231,0.6165523529052734,0.4374537467956543,0.1623498946428299,0.11109276115894318,2.7692670822143555,1
22,Czech Republic,6.609000205993652,6.683862462639809,6.534137949347496,1.35268235206604,1.4338852167129517,0.7544440031051636,0.4909461736679077,0.08810675889253616,0.036872927099466324,2.45186185836792,1
23,Argentina,6.598999977111816,6.690085086077452,6.507914868146181,1.1852954626083374,1.4404511451721191,0.695137083530426,0.4945192039012909,0.10945706069469452,0.059739887714385986,2.6140053272247314,1
24,Mexico,6.578000068664551,6.67114890769124,6.4848512296378615,1.1531838178634644,1.210862159729004,0.7099789977073669,0.41273000836372375,0.12099043279886246,0.13277411460876465,2.8371548652648926,1
25,Singapore,6.572000026702881,6.636723069101572,6.507276984304189,1.6922776699066162,1.3538143634796143,0.9494923949241638,0.5498405694961548,0.3459659814834595,0.4643077850341797,1.2163619995117188,1
26,Malta,6.5269999504089355,6.598396772891283,6.455603127926588,1.3432798385620117,1.4884116649627686,0.8219442367553711,0.5887670516967773,0.5747305750846863,0.15306606888771057,1.5568628311157227,1
27,Uruguay,6.453999996185303,6.545906217694283,6.362093774676323,1.2175596952438354,1.4122278690338135,0.7192168235778809,0.5793922543525696,0.17509692907333374,0.17806187272071838,2.1724095344543457,1
28,Guatemala,6.453999996185303,6.566873972713947,6.341126019656659,0.8720019459724426,1.2555851936340332,0.5402399897575378,0.5313106179237366,0.283488392829895,0.0772232785820961,2.8938910961151123,1
29,Panama,6.452000141143799,6.557130716145038,6.346869566142559,1.233748435974121,1.373192548751831,0.7061561346054077,0.5500268340110779,0.21055693924427032,0.07098392397165298,2.3071999549865723,1
30,France,6.441999912261963,6.515767802447081,6.368232022076845,1.4309234619140625,1.3877768516540527,0.8444658517837524,0.4702221155166626,0.12976230680942535,0.17250242829322815,2.0059547424316406,1
31,Thailand,6.423999786376953,6.509116855710745,6.338882717043162,1.1278687715530396,1.4257924556732178,0.6472390294075012,0.580200731754303,0.572123110294342,0.031612735241651535,2.03950834274292,1
32,Taiwan Province of China,6.421999931335449,6.494596021920443,6.349403840750456,1.4336265325546265,1.3845653533935547,0.7939842343330383,0.36146658658981323,0.25836047530174255,0.06382923573255539,2.1266074180603027,1
33,Spain,6.4029998779296875,6.471054845303297,6.334944910556078,1.3843978643417358,1.5320909023284912,0.888960599899292,0.4087812304496765,0.19013357162475586,0.07091409713029861,1.927757740020752,1
34,Qatar,6.375,6.568476814329625,6.181523185670375,1.8707656860351562,1.2742968797683716,0.7100980877876282,0.6041309833526611,0.3304738700389862,0.43929925560951233,1.1454644203186035,1
35,Colombia,6.35699987411499,6.452020054161548,6.261979694068432,1.0706223249435425,1.402182936668396,0.5950279235839844,0.4774874150753021,0.14901447296142578,0.04666874185204506,2.616068124771118,1
36,Saudi Arabia,6.343999862670898,6.4441666120290755,6.243833113312721,1.5306235551834106,1.286677598953247,0.5901483297348022,0.4497505724430084,0.14761601388454437,0.27343225479125977,2.0654296875,1
37,Trinidad and Tobago,6.168000221252441,6.381533890664578,5.954466551840305,1.3613559007644653,1.3802285194396973,0.5199832916259766,0.5186307430267334,0.32529646158218384,0.008964816108345985,2.0532474517822266,1
38,Kuwait,6.105000019073486,6.191956988871097,6.018043049275875,1.6329524517059326,1.259698748588562,0.6321057081222534,0.4963375926017761,0.22828979790210724,0.2151595503091812,1.640425205230713,1
39,Slovakia,6.0980000495910645,6.177348412126303,6.018651687055826,1.325393557548523,1.5050592422485352,0.7127329111099243,0.29581746459007263,0.13654448091983795,0.0242108516395092,2.0977766513824463,1
40,Bahrain,6.086999893188477,6.178989067822695,5.9950107185542585,1.4884122610092163,1.3231104612350464,0.6531330347061157,0.5367469191551208,0.1726684868335724,0.25704216957092285,1.6561493873596191,1
41,Malaysia,6.084000110626221,6.179979636520147,5.988020584732294,1.291215419769287,1.2846460342407227,0.6187844276428223,0.4022649824619293,0.41660892963409424,0.06560070812702179,2.004448890686035,1
42,Nicaragua,6.071000099182129,6.186583600342273,5.955416598021984,0.7372992038726807,1.2872157096862793,0.6530959606170654,0.4475518465042114,0.3016742169857025,0.13068798184394836,2.513930559158325,1
43,Ecuador,6.007999897003174,6.105847675353289,5.910152118653059,1.0008203983306885,1.2861688137054443,0.6856362223625183,0.4551981985569,0.15011246502399445,0.14013464748859406,2.2903525829315186,1
44,El Salvador,6.002999782562256,6.108635122328996,5.897364442795515,0.9097844958305359,1.1821250915527344,0.5960185527801514,0.432452529668808,0.0782579854130745,0.08998095989227295,2.7145938873291016,1
45,Poland,5.9730000495910645,6.053908341228962,5.892091757953167,1.29178786277771,1.4457119703292847,0.6994753479957581,0.5203421115875244,0.15846596658229828,0.05930780619382858,1.7977228164672852,1
46,Uzbekistan,5.9710001945495605,6.065537572950125,5.8764628161489965,0.7864410877227783,1.5489691495895386,0.4982726275920868,0.6582486629486084,0.415983647108078,0.24652822315692902,1.8169136047363281,1
47,Italy,5.964000225067139,6.0427369059622285,5.885263544172049,1.3950666189193726,1.4449232816696167,0.8531443476676941,0.25645071268081665,0.17278964817523956,0.0280280914157629,1.81331205368042,1
48,Russia,5.9629998207092285,6.030274907499551,5.895724733918906,1.28177809715271,1.4692823886871338,0.5473493337631226,0.3737831115722656,0.05226382240653038,0.03296288102865219,2.2056074142456055,1
49,Belize,5.955999851226807,6.197242317795753,5.71475738465786,0.9079753160476685,1.0814177989959717,0.45019176602363586,0.5475093722343445,0.2400156408548355,0.09658107161521912,2.631955623626709,1
50,Japan,5.920000076293945,5.990719444602728,5.849280707985162,1.4169151782989502,1.4363378286361694,0.9134758710861206,0.5056255459785461,0.1205727681517601,0.1637607365846634,1.3632235527038574,1
51,Lithuania,5.9019999504089355,5.982669641375542,5.8213302594423295,1.314582347869873,1.4735161066055298,0.6289499402046204,0.23423178493976593,0.010164656676352024,0.011865642853081226,2.228440523147583,1
52,Algeria,5.872000217437744,5.978286433666945,5.7657140012085435,1.0918644666671753,1.1462174654006958,0.6175846457481384,0.23333580791950226,0.06943664699792862,0.1460961103439331,2.567603826522827,1
53,Latvia,5.849999904632568,5.920263538211584,5.779736271053553,1.2607486248016357,1.4047149419784546,0.6385669708251953,0.32570791244506836,0.15307478606700897,0.07384272664785385,1.9936552047729492,1
54,South Korea,5.8379998207092285,5.922559028267861,5.753440613150596,1.401678442955017,1.1282744407653809,0.9002140760421753,0.25792166590690613,0.20667436718940735,0.06328266859054565,1.880378007888794,1
55,Moldova,5.8379998207092285,5.9083708384633065,5.767628802955151,0.7288706302642822,1.2518255710601807,0.5894652009010315,0.24072904884815216,0.20877912640571594,0.010091286152601242,2.8078083992004395,1
56,Romania,5.824999809265137,5.91969415679574,5.730305461734534,1.2176839113235474,1.150091290473938,0.6851583123207092,0.45700374245643616,0.13351991772651672,0.004387900698930025,2.1768314838409424,1
57,Bolivia,5.822999954223633,5.903976902514696,5.74202300593257,0.8337565660476685,1.2276190519332886,0.47363024950027466,0.5587329268455505,0.22556072473526,0.06047772616147995,2.4432790279388428,1
58,Turkmenistan,5.822000026702881,5.8851808755099775,5.758819177895784,1.1307767629623413,1.4931491613388062,0.43772608041763306,0.41827192902565,0.24992498755455017,0.2592703402042389,1.8329098224639893,1
59,Kazakhstan,5.818999767303467,5.903641774654388,5.7343577599525455,1.284556269645691,1.3843690156936646,0.6060415506362915,0.4374542832374573,0.20196442306041718,0.11928288638591766,1.7848925590515137,1
60,North Cyprus,5.809999942779541,5.897366464883089,5.722633420675993,1.3469113111495972,1.1863033771514893,0.8346472382545471,0.47120362520217896,0.266845703125,0.1553533524274826,1.5491576194763184,1
61,Slovenia,5.757999897003174,5.842225160002709,5.673774634003639,1.3412059545516968,1.4525188207626343,0.7908282279968262,0.5725758075714111,0.24264909327030182,0.04512897878885269,1.3133172988891602,1
62,Peru,5.715000152587891,5.8119467785954475,5.618053526580334,1.03522527217865,1.2187703847885132,0.6301661133766174,0.45000287890434265,0.12681971490383148,0.047049086540937424,2.2072694301605225,1
63,Mauritius,5.629000186920166,5.7298621916770935,5.5281381821632385,1.189395546913147,1.2095609903335571,0.6380074620246887,0.4912473261356354,0.36093375086784363,0.042181555181741714,1.6975839138031006,1
64,Cyprus,5.620999813079834,5.714692699313164,5.527306926846504,1.3559380769729614,1.1313632726669312,0.8447147011756897,0.3551115393638611,0.271254301071167,0.041237976402044296,1.6212491989135742,1
65,Estonia,5.611000061035156,5.688139874190092,5.53386024788022,1.320879340171814,1.4766710996627808,0.6951683163642883,0.47913143038749695,0.09889081120491028,0.18324892222881317,1.357508659362793,1
66,Belarus,5.568999767303467,5.646114244014025,5.491885290592909,1.156557559967041,1.444945216178894,0.6377142667770386,0.2954002618789673,0.15513750910758972,0.15631382167339325,1.7232329845428467,1
67,Libya,5.525000095367432,5.676953806877136,5.373046383857727,1.1018030643463135,1.3575643301010132,0.5201690196990967,0.46573323011398315,0.1520736664533615,0.09261021018028259,1.8350112438201904,1
68,Turkey,5.5,5.594864963293076,5.405135036706924,1.1982743740081787,1.337753176689148,0.637605607509613,0.3007405996322632,0.046693041920661926,0.09967157989740372,1.8792779445648193,1
69,Paraguay,5.493000030517578,5.57738126963377,5.408618791401386,0.932537317276001,1.5072848796844482,0.579250693321228,0.4735077917575836,0.2241506576538086,0.091065913438797,1.685333490371704,1
70,"Hong Kong S.A.R., China",5.4720001220703125,5.549594173133373,5.394406071007252,1.5516748428344727,1.2627909183502197,0.943062424659729,0.49096864461898804,0.37446579337120056,0.2939337491989136,0.5546331405639648,1
71,Philippines,5.429999828338623,5.5453350542485715,5.3146646024286746,0.8576992154121399,1.2539175748825073,0.4680090546607971,0.5852146744728088,0.193513423204422,0.09933189302682877,1.972604751586914,1
72,Serbia,5.394999980926514,5.4915696561336516,5.298430305719376,1.0693175792694092,1.2581897974014282,0.6507846713066101,0.2087155282497406,0.22012588381767273,0.04090378060936928,1.9470844268798828,1
73,Jordan,5.335999965667725,5.44841002240777,5.223589908927679,0.9910123944282532,1.2390888929367065,0.6045900583267212,0.4184211492538452,0.1721704602241516,0.11980327218770981,1.7911765575408936,1
74,Hungary,5.323999881744385,5.403039709180593,5.2449600543081765,1.2860119342803955,1.3431330919265747,0.6877634525299072,0.17586351931095123,0.07840166240930557,0.03663693740963936,1.7164592742919922,1
75,Jamaica,5.310999870300293,5.581398728489876,5.04060101211071,0.925579309463501,1.3682180643081665,0.6410223841667175,0.47430723905563354,0.23381833732128143,0.055267781019210815,1.612325668334961,1
